language,wals,metric,algorithm,value,run_id
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8892314852521962,5
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8888242480656233,6
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8879848408035039,7
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8901872459961936,8
GUARANI_WESTERN_BOLIVIAN,[gnw],del-verses,gzip,-0.8866550867248988,9
HIXKARYÁNA,hix,del-verses,gzip,-0.8903557303592362,0
HIXKARYÁNA,hix,del-verses,gzip,-0.8881974648597127,1
HIXKARYÁNA,hix,del-verses,gzip,-0.8868280070554466,2
HIXKARYÁNA,hix,del-verses,gzip,-0.8911554937169276,3
HIXKARYÁNA,hix,del-verses,gzip,-0.8892546862846062,4
HIXKARYÁNA,hix,del-verses,gzip,-0.8885261347327366,5
HIXKARYÁNA,hix,del-verses,gzip,-0.8884604007581318,6
HIXKARYÁNA,hix,del-verses,gzip,-0.8920483802053091,7
HIXKARYÁNA,hix,del-verses,gzip,-0.8920867250238286,8
HIXKARYÁNA,hix,del-verses,gzip,-0.8833495842326107,9
JAMAMADI,jmm,del-verses,gzip,-0.8891798927941613,0
JAMAMADI,jmm,del-verses,gzip,-0.8873552983081033,1
JAMAMADI,jmm,del-verses,gzip,-0.8906552825938924,2
JAMAMADI,jmm,del-verses,gzip,-0.886683079286924,3
JAMAMADI,jmm,del-verses,gzip,-0.8849370558552896,4
JAMAMADI,jmm,del-verses,gzip,-0.887032283973251,5
JAMAMADI,jmm,del-verses,gzip,-0.8875735512370576,6
JAMAMADI,jmm,del-verses,gzip,-0.8944266932062228,7
JAMAMADI,jmm,del-verses,gzip,-0.8873203778394706,8
JAMAMADI,jmm,del-verses,gzip,-0.8901402056815603,9
KAAPOR,urk,del-verses,gzip,-0.8953713735403876,0
KAAPOR,urk,del-verses,gzip,-0.886583604189238,1
KAAPOR,urk,del-verses,gzip,-0.8889550981100277,2
KAAPOR,urk,del-verses,gzip,-0.8837366076802696,3
KAAPOR,urk,del-verses,gzip,-0.8855182376309136,4
KAAPOR,urk,del-verses,gzip,-0.8912904779101962,5
KAAPOR,urk,del-verses,gzip,-0.8878235223305646,6
KAAPOR,urk,del-verses,gzip,-0.8884194053208138,7
KAAPOR,urk,del-verses,gzip,-0.8865896232093415,8
KAAPOR,urk,del-verses,gzip,-0.8865234139882027,9
KADIWÉU,kdw,del-verses,gzip,-0.8872185889515084,0
KADIWÉU,kdw,del-verses,gzip,-0.8923781682288057,1
KADIWÉU,kdw,del-verses,gzip,-0.8872185889515084,2
KADIWÉU,kdw,del-verses,gzip,-0.8903951056327416,3
KADIWÉU,kdw,del-verses,gzip,-0.888641089780296,4
KADIWÉU,kdw,del-verses,gzip,-0.8878454537235164,5
KADIWÉU,kdw,del-verses,gzip,-0.888110665742443,6
KADIWÉU,kdw,del-verses,gzip,-0.8929568126337362,7
KADIWÉU,kdw,del-verses,gzip,-0.8852656640848678,8
KADIWÉU,kdw,del-verses,gzip,-0.8871040655796992,9
KAIGANG,kng,del-verses,gzip,-0.8857003409396353,0
KAIGANG,kng,del-verses,gzip,-0.8856720471939677,1
KAIGANG,kng,del-verses,gzip,-0.8857286346853028,2
KAIGANG,kng,del-verses,gzip,-0.8923918117900038,3
KAIGANG,kng,del-verses,gzip,-0.8878294453011162,4
